Timestep,Traffic_Light_ID,State,Phase_Duration,Traffic_Light_1_2,Traffic_Light_3_4,Zebra_Crossing_Light
41,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
41,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
42,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
42,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
43,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
43,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
44,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
44,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
45,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
45,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
46,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
46,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
47,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
47,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
48,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
48,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
49,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
49,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
50,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
50,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
51,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
51,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
52,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
52,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
53,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
53,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
54,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
54,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
55,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
55,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
56,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
56,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
57,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
57,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
58,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
58,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
59,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
59,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
