Vehicle_ID,Depart_Time,Arrival_Time,Duration,Waiting_Time,Time_Loss,Distance_Traveled
veh19.2,173.0,282.0,109.0,0.0,31.0,961.32
veh20.1,178.0,283.0,105.0,13.0,49.7,1040.02
veh15.1,135.0,284.0,149.0,46.0,84.32,998.3
veh21.5,198.0,285.0,87.0,0.0,25.92,920.35
veh13.9,141.0,286.0,145.0,35.0,77.1,711.51
veh20.2,181.0,286.0,105.0,8.0,39.03,1040.02
veh21.6,201.0,287.0,86.0,0.0,28.89,920.35
veh20.3,184.0,289.0,105.0,7.0,35.87,1040.02
veh21.7,204.0,290.0,86.0,0.0,29.61,920.35
veh20.4,187.0,291.0,104.0,6.0,45.92,1040.02
veh19.3,176.0,293.0,117.0,0.0,27.3,961.32
veh21.8,207.0,293.0,86.0,0.0,25.28,920.35
veh20.5,190.0,294.0,104.0,3.0,41.47,1040.02
veh14,123.0,296.0,173.0,37.0,91.56,1402.11
veh20.6,193.0,296.0,103.0,0.0,44.62,1040.02
veh21.9,210.0,296.0,86.0,0.0,26.86,920.35
veh19.4,179.0,298.0,119.0,0.0,37.64,961.32
veh20.7,196.0,298.0,102.0,0.0,42.91,1040.02
veh14.1,126.0,301.0,175.0,36.0,85.46,1402.11
veh16.7,182.0,301.0,119.0,24.0,53.41,841.22
veh20.8,199.0,301.0,102.0,0.0,44.01,1040.02
veh14.2,129.0,302.0,173.0,34.0,91.8,1402.11
veh19.5,182.0,302.0,120.0,0.0,40.25,961.32
veh20.9,202.0,303.0,101.0,0.0,39.44,1040.02
veh24,210.0,303.0,93.0,0.0,30.83,756.07
veh16.8,185.0,304.0,119.0,22.0,62.05,841.22
veh24.1,213.0,304.0,91.0,0.0,35.22,756.07
veh25,219.0,305.0,86.0,0.0,12.82,708.86
veh16.9,188.0,306.0,118.0,21.0,64.54,841.22
veh25.1,222.0,307.0,85.0,0.0,26.58,708.86
veh14.3,132.0,308.0,176.0,30.0,77.83,1402.11
veh19.6,185.0,308.0,123.0,0.0,39.9,961.32
veh14.4,135.0,309.0,174.0,28.0,98.1,1402.11
veh25.2,225.0,309.0,84.0,0.0,23.88,708.86
veh14.5,138.0,311.0,173.0,24.0,84.15,1402.11
veh19.8,191.0,312.0,121.0,0.0,45.4,961.32
veh25.3,227.0,312.0,85.0,0.0,22.07,708.86
veh9.7,240.0,313.0,73.0,14.0,30.18,569.97
veh25.5,234.0,313.0,79.0,0.0,23.68,708.86
veh14.6,141.0,314.0,173.0,22.0,82.33,1402.11
veh24.2,216.0,316.0,100.0,0.0,24.9,756.07
veh25.6,237.0,316.0,79.0,0.0,22.33,708.86
veh14.7,144.0,317.0,173.0,21.0,88.18,1402.11
veh24.3,219.0,317.0,98.0,0.0,40.78,756.07
veh19.7,188.0,318.0,130.0,0.0,41.89,961.32
veh29,254.0,318.0,64.0,0.0,12.79,846.87
veh24.4,222.0,319.0,97.0,0.0,32.77,756.07
veh25.7,240.0,319.0,79.0,0.0,16.76,708.86
veh14.8,147.0,321.0,174.0,18.0,79.37,1402.11
veh24.5,225.0,321.0,96.0,0.0,38.32,756.07
veh25.8,243.0,321.0,78.0,0.0,18.71,708.86
veh14.9,150.0,323.0,173.0,16.0,91.32,1402.11
veh24.6,228.0,323.0,95.0,0.0,36.21,756.07
veh15.2,138.0,326.0,188.0,88.0,126.14,998.3
veh19.9,194.0,326.0,132.0,0.0,40.78,961.32
veh24.7,231.0,327.0,96.0,0.0,27.94,756.07
veh29.1,255.0,327.0,72.0,0.0,15.76,846.87
veh15.3,141.0,328.0,187.0,85.0,130.14,998.3
veh24.8,234.0,329.0,95.0,0.0,31.61,756.07
veh24.9,237.0,330.0,93.0,0.0,39.23,756.07
veh29.2,256.0,331.0,75.0,0.0,27.3,846.87
veh15.4,144.0,333.0,189.0,80.0,125.22,998.3
veh29.4,258.0,336.0,78.0,0.0,23.5,846.87
veh6,53.0,339.0,286.0,160.0,209.42,1076.27
veh29.3,257.0,342.0,85.0,1.0,29.26,846.87
veh30,263.0,346.0,83.0,0.0,24.63,1047.8
veh11,97.0,348.0,251.0,63.0,133.63,1924.38
veh15.5,148.0,348.0,200.0,78.0,120.22,998.3
veh29.5,259.0,348.0,89.0,0.0,30.6,846.87
veh15.6,153.0,350.0,197.0,73.0,137.41,998.3
veh22,193.0,350.0,157.0,17.0,61.66,1491.36
veh28,245.0,350.0,105.0,30.0,44.98,1035.6
veh30.1,266.0,351.0,85.0,0.0,22.45,1047.8
veh15.7,157.0,352.0,195.0,67.0,129.58,998.3
veh29.6,260.0,352.0,92.0,0.0,37.02,846.87
veh11.1,100.0,353.0,253.0,62.0,128.4,1924.38
veh22.1,194.0,354.0,160.0,16.0,60.64,1491.36
veh11.2,103.0,355.0,252.0,58.0,147.38,1924.38
veh28.1,248.0,355.0,107.0,26.0,45.73,1035.6
veh29.7,261.0,356.0,95.0,2.0,52.7,846.87
veh30.2,269.0,356.0,87.0,0.0,15.59,1047.8
veh30.3,272.0,358.0,86.0,0.0,23.59,1047.8
veh10.1,107.0,359.0,252.0,145.0,181.15,936.29
veh11.3,106.0,359.0,253.0,54.0,130.66,1924.38
